game_date,pitcher,batter,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,balls,strikes,outs_when_up,inning,inning_topbot,on_1b,on_2b,on_3b,bat_score,fld_score,stand,p_throws,home_team,away_team,at_bat_number,pitch_number
2025-10-05,701542,643396,FF,92.4,2520,-0.29,1.33,0.85342854422875,1.512756064145595,0,0,2,6,Bot,676391,,,13,2,R,R,TOR,NYY,58,1
2025-10-05,701542,676391,FF,90.8,2514,-0.12,0.96,0.7983305660699143,1.3505284068869905,0,2,2,6,Bot,,,,13,2,R,R,TOR,NYY,57,3
2025-10-05,701542,676391,ST,82.6,2937,1.25,-0.23,-0.5445176984515208,2.585996271524772,0,1,2,6,Bot,,,,13,2,R,R,TOR,NYY,57,2
2025-10-05,701542,676391,ST,83.5,2956,1.13,-0.13,-0.5748014339416639,1.895435911102644,0,0,2,6,Bot,,,,13,2,R,R,TOR,NYY,57,1
2025-10-05,701542,662139,CU,82.8,2769,0.73,-0.78,0.3131401097237022,0.9783603673813096,1,2,2,6,Bot,,,,12,2,L,R,TOR,NYY,56,4
2025-10-05,701542,662139,FF,92.0,2391,-0.31,1.13,0.1278365601040145,3.608382555375429,1,1,2,6,Bot,,,,12,2,L,R,TOR,NYY,56,3
2025-10-05,701542,662139,ST,82.0,2800,1.47,0.22,-1.3379019262805405,3.3534578242790554,0,1,2,6,Bot,,,,12,2,L,R,TOR,NYY,56,2
2025-10-05,701542,662139,SI,93.0,2383,-1.44,0.26,-0.5046226596732335,2.321000543146069,0,0,2,6,Bot,,,,12,2,L,R,TOR,NYY,56,1
2025-10-05,701542,672386,ST,82.8,2872,1.17,-0.04,0.479643782227497,1.4829173936157138,0,1,1,6,Bot,,,,12,2,R,R,TOR,NYY,55,2
2025-10-05,701542,672386,FF,91.0,2523,-0.72,1.29,0.3770993723586801,1.896720613218432,0,0,1,6,Bot,,,,12,2,R,R,TOR,NYY,55,1
2025-10-05,701542,665489,FF,91.8,2567,-0.38,1.38,-0.1213501252888143,2.490424264649996,2,2,0,6,Bot,,,,12,2,R,R,TOR,NYY,54,5
2025-10-05,701542,665489,ST,83.2,2863,1.07,0.3,-0.2755081814886287,2.0093063333907932,2,1,0,6,Bot,,,,12,2,R,R,TOR,NYY,54,4
2025-10-05,701542,665489,FF,91.5,2549,-0.33,1.38,1.3546616025763845,2.4309976482075113,1,1,0,6,Bot,,,,12,2,R,R,TOR,NYY,54,3
2025-10-05,701542,665489,SI,91.6,2280,-1.29,0.42,-1.2810891440926595,2.0142534618279653,0,1,0,6,Bot,,,,12,2,R,R,TOR,NYY,54,2
2025-10-05,701542,665489,SI,91.4,2390,-1.21,0.51,0.2802657791575758,3.441934975163651,0,0,0,6,Bot,,,,12,2,R,R,TOR,NYY,54,1
2025-10-05,680755,665862,SL,88.8,2457,0.21,0.14,0.1006865670353792,3.752128729545216,1,2,2,6,Top,,519317,700250,2,12,L,R,TOR,NYY,53,5
2025-10-05,680755,665862,FF,96.9,2252,-0.57,1.35,-0.1619535479669728,3.3238276465780414,1,2,2,6,Top,,519317,700250,2,12,L,R,TOR,NYY,53,4
2025-10-05,680755,665862,CU,83.4,2601,0.32,-1.05,-0.1937098178069306,3.390928632269828,1,1,2,6,Top,,519317,700250,2,12,L,R,TOR,NYY,53,3
2025-10-05,680755,665862,CU,84.0,2633,0.27,-0.98,-0.0045510808953572,1.9631181743618955,1,0,2,6,Top,,519317,700250,2,12,L,R,TOR,NYY,53,2
2025-10-05,680755,665862,FF,97.4,2390,-0.62,1.41,0.1905379175008419,4.229598793804095,0,0,2,6,Top,,519317,700250,2,12,L,R,TOR,NYY,53,1
2025-10-05,680755,519317,CU,83.1,2671,0.3,-1.37,-0.4605101864404277,2.587242796508791,3,1,2,6,Top,700250,,,2,12,R,R,TOR,NYY,52,5
